!FILE EXPORTED FROM WELL DATA SPREADSHEET:

"Well Name"	"Well Number"	"Borehole Name"	"UWI"	"Bottom Hole Location X"	"Bottom Hole Location Y"	"X(m)"	"Y(m)"
Al MacInnis		D  7/11/1963	200C042F093P0900	710091.00	5658213.50	710091.00	5658213.50
Alex Delvecchio		C  12/4/1931	100120307716W600	702184.50	5660344.60	702184.50	5660344.60
Bernie Nicholls		C  6/24/1961	100071007715W600	712598.80	5661919.20	712598.80	5661919.20
Bobby Rousseau		R  7/26/1940	100040707714W600	716751.56	5661867.55	715013.10	5662528.30
Brent Ashton		C  5/18/1960	200B058B093P0900	713833.24	5649451.08	712351.60	5650770.10
Brett Hull		R  8/9/1964	200C082C093P0900	710428.60	5652429.00	710428.60	5652429.00
Brian Bellows		R  9/1/1964	200A082C093P0903	711009.73	5651970.65	712391.80	5650766.70
Carol Vadnais		D  9/25/1945	200D070B093P0900	712394.21	5650786.12	712391.80	5650766.70
Chris Pronger		D  10/10/1974	200A064C093P0900	709522.28	5650101.59	709552.40	5650101.20
Dale Hunter		C  7/31/1960	100070707716W600	697909.16	5661181.54	696455.40	5662190.80
Dave "Tiger" Williams		F  2/3/1954	200D012C093P0900	711024.45	5646091.97	711012.40	5646087.60
Dave Babych		D  5/23/1961	102051807716W600	697223.57	5663100.67	698833.40	5661983.00
Dave Keon		C  3/22/1940	200B051F093P0900	711040.34	5658827.36	711036.00	5658813.70
Dave Manson		D  1/27/1967	200B080B093P0902	712324.37	5651108.21	712391.80	5650766.70
Daymond Langkow		C  9/27/1976	200B057G093P0900	714377.40	5658775.30	714377.40	5658775.30
Dino Ciccarelli		R  2/8/1960	200A050G093P0900	712347.97	5657657.14	711006.80	5658820.20
Doug Mohns		D  12/13/1933	100020707716W600	697808.60	5661082.79	699333.00	5659921.80
Ed Westfall		R  9/19/1940	200D050G093P0900	712371.50	5658411.10	712371.50	5658411.10
George Armstrong		C  7/6/1930	100151207717W602	696466.52	5662202.41	696460.60	5662200.80
Gordie Howe		R  3/31/1928	200A060F093P0900	704167.70	5658388.40	704167.70	5658388.40
Guy Carbonneau		C  3/18/1960	200B002F093P0900	710480.23	5654164.61	711703.00	5653407.30
Henri Richard		F  2/29/1936	100010407715W602	711535.17	5659945.72	709860.80	5660514.80
Jarome Iginla		R  7/1/1977	100151207717W600	696466.52	5662202.41	696460.60	5662200.80
Jason Arnott		C  10/11/1974	200C091C093P0900	711416.81	5653333.08	710258.30	5654147.70
Jean Beliveau		C  8/31/1931	202A099B093P0900	713205.55	5653230.77	712058.70	5654512.90
Joe Sakic		C  7/7/1969	100030707716W600	697499.15	5660800.04	699330.60	5659902.00
Johnny Bucyk		L  5/12/1935	200A099C093P0900	705511.10	5653029.50	705511.10	5653029.50
Keith Acton		C  4/15/1958	100130107715W600	715271.30	5661064.20	715271.30	5661064.20
Kelly Buchberger		R  12/2/1966	100111807716W600	697369.61	5663483.54	698832.50	5661992.90
Larry Murphy		D  3/8/1961	200C010F093P0900	704224.80	5654324.00	704224.80	5654324.00
Larry Robinson		D  6/2/1951	200A003F093P0900	710224.10	5654140.80	710224.10	5654140.80
Luc Robitaille		L  2/17/1966	200C013F093P0900	709592.00	5655518.30	709592.00	5655518.30
Luke Richardson		D  3/26/1969	200D013F093P0900	709857.62	5655302.21	712043.80	5654512.00
Marcel Pronovost		D  6/15/1930	100030307715W600	712112.23	5659826.34	713498.80	5658749.20
Mark Messier		C  1/18/1961	200D039F093P0900	705267.20	5657219.90	705269.70	5657155.30
Mark Recchi		R  2/1/1968	200B043E093P0900	701545.38	5657591.70	701547.40	5657578.50
Mike Gartner		R  10/29/1959	200D014F093P0900	709108.09	5655232.79	710256.30	5654157.50
Mike Keane		R  5/29/1967	200A049G093P0900	712973.64	5657588.86	711075.10	5658804.90
Mike Sillinger		C  6/29/1971	100051407715W600	713397.88	5663509.02	715028.10	5662528.50
Norm Ullman		C  12/26/1935	100090507715W600	709863.03	5660530.15	709860.80	5660514.80
Pat Verbeek		R  5/24/1964	200B063F093P0900	709523.74	5659435.46	711065.30	5658807.10
Patrick Marleau		L  9/15/1979	200C070B093P0900	711942.00	5650971.00	711942.00	5650971.00
Paul Coffey		D  6/1/1961	200A070C093P0900	704613.18	5650163.82	704615.10	5650156.50
Ray Bourque		D  12/28/1960	100060107716W600	705761.70	5660041.50	705761.70	5660041.50
Ray Whitney		L  5/8/1972	200D091C093P0900	711543.99	5653363.08	711703.80	5653327.20
Rob Blake		D  12/10/1969	200D058C093P0900	706200.90	5649544.50	706200.90	5649544.50
Scott Mellanby		R  6/11/1966	200B095C093P0900	708247.10	5653106.80	708247.10	5653106.80
Scott Niedermayer		D  8/31/1973	200C082C093P0902	710428.60	5652429.00	710428.60	5652429.00
Scott Stevens		D  4/1/1964	200B047F093P0900	706245.64	5657492.17	706187.30	5657521.60
Stephane Richer		L  6/7/1966	200B046G093P0900	715205.93	5657969.90	713498.10	5658764.10
Terry Carkner		D  3/7/1966	200B085K093P0800	708635.10	5642596.60	708635.10	5642596.60
Trevor Linden		C  4/11/1970	102070707716W600	698088.57	5661544.01	696465.50	5662190.60
Wayne Gretzky		C 1/26/1961	100131107716W600	703588.60	5662277.50	703588.60	5662277.50
